Date;PCR
2019-10-07 00:00:00;1.75
2019-10-08 00:00:00;1.71
2019-10-09 00:00:00;2.3
2019-10-10 00:00:00;1.72
2019-10-11 00:00:00;1.77
2019-10-14 00:00:00;1.99
2019-10-15 00:00:00;1.97
2019-10-16 00:00:00;1.75
2019-10-17 00:00:00;1.6
2019-10-18 00:00:00;1.75
2019-10-21 00:00:00;1.72
2019-10-22 00:00:00;1.97
2019-10-23 00:00:00;1.81
2019-10-24 00:00:00;1.55
2019-10-25 00:00:00;1.41
2019-10-28 00:00:00;1.73
2019-10-29 00:00:00;1.97
2019-10-30 00:00:00;1.91
2019-10-31 00:00:00;1.72
2019-11-01 00:00:00;1.2
2019-11-04 00:00:00;1.18
2019-11-05 00:00:00;1.62
2019-11-06 00:00:00;1.7
2019-11-07 00:00:00;0.99
2019-11-08 00:00:00;1.89
2019-11-11 00:00:00;1.66
2019-11-12 00:00:00;1.85
2019-11-13 00:00:00;1.98
2019-11-14 00:00:00;1.97
2019-11-15 00:00:00;1.43
2019-11-18 00:00:00;1.4
2019-11-19 00:00:00;1.8
2019-11-20 00:00:00;1.96
2019-11-21 00:00:00;2.59
2019-11-22 00:00:00;2
2019-11-25 00:00:00;1.71
2019-11-26 00:00:00;1.58
2019-11-27 00:00:00;1.22
2019-11-29 00:00:00;2.03
2019-12-02 00:00:00;1.81
2019-12-03 00:00:00;1.65
2019-12-04 00:00:00;1.8
2019-12-05 00:00:00;2.01
2019-12-06 00:00:00;1.55
2019-12-09 00:00:00;2.3
2019-12-10 00:00:00;1.99
2019-12-11 00:00:00;1.67
2019-12-12 00:00:00;1.29
2019-12-13 00:00:00;1.85
2019-12-16 00:00:00;1.27
2019-12-17 00:00:00;1.53
2019-12-18 00:00:00;2.07
2019-12-19 00:00:00;1.35
2019-12-20 00:00:00;1.26
2019-12-23 00:00:00;1.52
2019-12-24 00:00:00;2.23
2019-12-26 00:00:00;1.9
2019-12-27 00:00:00;1.71
2019-12-30 00:00:00;1.46
2019-12-31 00:00:00;1.51
2020-01-02 00:00:00;1.88
2020-01-03 00:00:00;2.1
2020-01-06 00:00:00;1.89
